접수일자,제작사,차명,모델년도
2024-01-02,기아 주식회사,카니발 리무진,2018
2024-01-02,한국지엠주식회사,올란도 2.0 LPG,2013
2024-01-02,현대자동차(주),아이오닉5(IONIQ5),2022
2024-01-02,현대자동차(주),아이오닉5 (IONIQ5),2024
2024-01-02,현대자동차(주),아반떼(AVANTE),2016
2024-01-02,기아 주식회사,쏘렌토 하이브리드,2024
2024-01-02,기아 주식회사,쏘렌토 하이브리드,2024
2024-01-02,현대자동차(주),쏘나타 하이브리드 (SONATA Hybrid),2024
2024-01-02,현대자동차(주),싼타페 하이브리드(SANTAFE HYBRID),2024
2024-01-02,현대자동차(주),싼타페 하이브리드(SANTAFE HYBRID),2024
2024-01-02,메리트특장차주식회사,메리트8.5톤트럭,2024
2024-01-02,(주)재규어랜드로버코리아,디스커버리 TD6,2018
2024-01-02,(주)재규어랜드로버코리아,디스커버리 TD6,2018
2024-01-02,(주)재규어랜드로버코리아,디스커버리 TD6,2018
2024-01-02,현대자동차(주),그랜저(GRANDEUR),2017
2024-01-02,현대자동차(주),그랜저(GRANDEUR),2013
2024-01-02,현대자동차(주),그랜저 하이브리드(GRANDEUR HYBRID),2023
2024-01-02,폭스바겐그룹코리아 주식회사,Tiguan 2.0 TDI 4Motion,2018
2024-01-02,르노코리아(주),SM6,2016
2024-01-02,폭스바겐그룹코리아 주식회사,Q4 Sportback 40 e-tron,2023
2024-01-02,테슬라코리아 유한회사,Model 3 Performance,2020
2024-01-02,메르세데스벤츠코리아(주),Mercedes-Benz EQE500 4MATIC SUV,2023
2024-01-02,메르세데스벤츠코리아(주),Mercedes-Benz EQE350 4MATIC SUV,2023
2024-01-02,기아 주식회사,K7,2015
2024-01-02,기아 주식회사,K5,2021
2024-01-02,현대자동차(주),GV80 쿠페(GV80 Coupe),2024
2024-01-02,한불모터스(주),Citroen Grand C4 Picasso 1.6 BlueHDi,2019
2024-01-02,메르세데스벤츠코리아(주),C220 d,2019
2024-01-02,비엠더블유코리아(주),BMW iX3 M Sport,2023
2024-01-02,비엠더블유코리아(주),BMW iX3 M Sport,2023
2024-01-02,폭스바겐그룹코리아 주식회사,Arteon 2.0 TDI,2019
2024-01-02,한국닛산(주),ALTIMA 2.5,2017
2024-01-02,폭스바겐그룹코리아 주식회사,A7 55 TFSI quattro,2020
2024-01-03,현대자동차(주),투싼 하이브리드(TUCSON HYBRID),2022
2024-01-03,케이지모빌리티 주식회사(KG Mobility Corp.),토레스,2023
2024-01-03,케이지모빌리티 주식회사(KG Mobility Corp.),토레스,2023
2024-01-03,한국지엠주식회사,올란도 2.0 LPG,2012
2024-01-03,현대자동차(주),아이오닉6 (IONIQ6),2023
2024-01-03,현대자동차(주),벨로스터(VELOSTER),2016
2024-01-03,현대자동차(주),벨로스터(VELOSTER),2012
2024-01-03,(주)재규어랜드로버코리아,디스커버리 TD6,2018
2024-01-03,현대자동차(주),넥쏘 (NEXO) 수소전기차,2021
2024-01-03,현대자동차(주),그랜저(GRANDEUR),2018
2024-01-03,폭스바겐그룹코리아 주식회사,Tiguan 2.0 TDI,2018
2024-01-03,한불모터스(주),Peugeot e-2008 SUV,2021
2024-01-03,한불모터스(주),Peugeot 508 1.6 Blue-HDi,2016
2024-01-03,한불모터스(주),Peugeot 3008 1.6 Blue-HDi,2016
2024-01-03,한불모터스(주),Peugeot 2008 1.6 BlueHDi,2017
2024-01-03,한불모터스(주),Peugeot 2008 1.6 BlueHDi,2016
2024-01-03,메르세데스벤츠코리아(주),Mercedes-Benz E300 e 4MATIC,2023
2024-01-03,기아 주식회사,K5 하이브리드,2023
2024-01-03,기아 주식회사,K3,2013
2024-01-03,현대자동차(주),GV70,2024
2024-01-03,비엠더블유코리아(주),BMW iX3 M Sport,2023
2024-01-03,비엠더블유코리아(주),BMW M340i,2021
2024-01-03,비엠더블유코리아(주),BMW 520d,2018
2024-01-03,폭스바겐그룹코리아 주식회사,Arteon 2.0TDI 4Motion,2022
